id,text_snippet,labels
48,"We love the analytics, but CompetitorX has a cheaper discount.","Pricing Discussion, Competition"
49,"We love the data pipeline, but CompetitorZ has a cheaper renewal cost.","Pricing Discussion, Positive, Competition"
50,"We love the AI engine, but CompetitorX has a cheaper pricing model.","Positive, Pricing Discussion, Security"
51,"We love the data pipeline, but CompetitorY has a cheaper budget.",Positive
52,"We love the analytics, but CompetitorX has a cheaper budget.","Objection, Competition, Security"
53,"We love the data pipeline, but CompetitorZ has a cheaper discount.","Positive, Pricing Discussion, Security"
54,"We love the data pipeline, but CompetitorZ has a cheaper budget.","Positive, Objection"
55,"We love the AI engine, but CompetitorX has a cheaper renewal cost.","Objection, Pricing Discussion, Competition"
56,"We love the AI engine, but CompetitorY has a cheaper discount.",Objection
57,"We love the analytics, but CompetitorX has a cheaper budget.",Positive
58,"We love the data pipeline, but CompetitorY has a cheaper pricing model.","Pricing Discussion, Positive"
59,"We love the AI engine, but CompetitorX has a cheaper budget.",Competition
60,"We love the data pipeline, but CompetitorY has a cheaper budget.","Positive, Pricing Discussion"
61,"We love the AI engine, but CompetitorX has a cheaper pricing model.","Pricing Discussion, Objection, Security"
62,"We love the data pipeline, but CompetitorY has a cheaper renewal cost.","Objection, Competition, Security"
63,"We love the AI engine, but CompetitorY has a cheaper discount.","Pricing Discussion, Objection"
64,"We love the data pipeline, but CompetitorZ has a cheaper renewal cost.","Positive, Objection"
65,"We love the AI engine, but CompetitorZ has a cheaper budget.","Competition, Objection"
66,"We love the analytics, but CompetitorZ has a cheaper renewal cost.","Objection, Pricing Discussion, Security"
67,"We love the data pipeline, but CompetitorZ has a cheaper renewal cost.","Pricing Discussion, Objection, Positive"
68,"We love the AI engine, but CompetitorY has a cheaper renewal cost.",Pricing Discussion
69,"We love the AI engine, but CompetitorY has a cheaper discount.",Pricing Discussion
70,"We love the AI engine, but CompetitorZ has a cheaper renewal cost.",Objection
71,"We love the analytics, but CompetitorZ has a cheaper pricing model.","Objection, Competition, Pricing Discussion"
72,"We love the data pipeline, but CompetitorX has a cheaper discount.","Security, Positive"
73,"We love the data pipeline, but CompetitorX has a cheaper pricing model.","Competition, Security, Positive"
74,"We love the AI engine, but CompetitorY has a cheaper pricing model.",Positive
75,"We love the data pipeline, but CompetitorY has a cheaper pricing model.","Security, Pricing Discussion"
76,"We love the data pipeline, but CompetitorY has a cheaper discount.","Objection, Competition, Security"
77,"We love the AI engine, but CompetitorY has a cheaper pricing model.","Positive, Competition, Objection"
78,"We love the data pipeline, but CompetitorZ has a cheaper pricing model.","Objection, Competition"
79,"We love the data pipeline, but CompetitorX has a cheaper pricing model.","Competition, Objection, Security"
80,"We love the analytics, but CompetitorY has a cheaper discount.",Positive
81,"We love the data pipeline, but CompetitorZ has a cheaper renewal cost.","Pricing Discussion, Competition"
82,"We love the AI engine, but CompetitorY has a cheaper pricing model.","Competition, Positive"
83,"We love the data pipeline, but CompetitorY has a cheaper discount.",Objection
84,"We love the data pipeline, but CompetitorY has a cheaper budget.","Positive, Objection, Security"
85,"We love the data pipeline, but CompetitorZ has a cheaper renewal cost.","Positive, Objection"
86,"We love the analytics, but CompetitorY has a cheaper renewal cost.",Objection
87,"We love the AI engine, but CompetitorY has a cheaper pricing model.","Positive, Security, Pricing Discussion"
88,"We love the AI engine, but CompetitorY has a cheaper discount.","Positive, Objection"
89,"We love the data pipeline, but CompetitorZ has a cheaper pricing model.","Objection, Pricing Discussion, Security"
90,"We love the data pipeline, but CompetitorX has a cheaper discount.",Positive
91,"We love the data pipeline, but CompetitorZ has a cheaper discount.","Positive, Pricing Discussion, Security"
92,"We love the AI engine, but CompetitorY has a cheaper pricing model.","Pricing Discussion, Security, Competition"
93,"We love the AI engine, but CompetitorZ has a cheaper pricing model.","Objection, Pricing Discussion"
94,"We love the AI engine, but CompetitorX has a cheaper pricing model.",Competition
95,"We love the data pipeline, but CompetitorX has a cheaper renewal cost.","Positive, Competition"
96,"We love the AI engine, but CompetitorY has a cheaper budget.","Security, Objection, Positive"
97,"We love the analytics, but CompetitorX has a cheaper discount.","Positive, Objection"
98,"We love the data pipeline, but CompetitorZ has a cheaper discount.",Objection
99,"We love the AI engine, but CompetitorY has a cheaper renewal cost.","Objection, Security"
100,"We love the data pipeline, but CompetitorY has a cheaper pricing model.","Pricing Discussion, Positive"
